iso,n_items,n_persist,n_anypair_plugin,iso3,country,in_core,y_first,y_last,d_supdem,claassen_declining
8,4,4,4,ALB,Albania,True,2006.0,2017.0,-0.10561401600000003,True
12,4,1,3,DZA,Algeria,False,2006.0,2017.0,0.257827673,False
31,4,2,2,AZE,Azerbaijan,True,2006.0,2017.0,0.05436786100000002,False
32,5,0,4,ARG,,False,2006.0,2017.0,-0.09688241199999999,True
36,5,0,3,AUS,,False,2006.0,2017.0,0.09360038500000001,False
50,4,0,2,BGD,,False,2006.0,2017.0,1.325016439,False
51,5,0,2,ARM,,False,2006.0,2017.0,-0.302247268,True
70,4,3,3,BIH,Bosnia and Herzegovina,True,2006.0,2017.0,-0.11663747300000002,True
76,5,0,4,BRA,,False,2006.0,2017.0,-0.481568142,True
100,4,1,1,BGR,Bulgaria,False,2006.0,2017.0,0.2905292020000001,False
112,4,1,2,BLR,Belarus,False,2006.0,2017.0,0.6232447050000001,False
124,5,1,3,CAN,Canada,False,2006.0,2017.0,-0.046281954999999986,True
152,5,0,5,CHL,,False,2006.0,2017.0,-0.15150838100000003,True
156,5,0,4,CHN,,False,2006.0,2017.0,0.014983204999999944,False
158,5,0,4,TWN,,False,2006.0,2017.0,0.131582381,False
170,5,0,4,COL,,False,2006.0,2017.0,0.058080490999999956,False
196,5,1,5,CYP,Cyprus,False,2006.0,2017.0,0.331925562,False
203,4,1,2,CZE,Czechia,False,2006.0,2017.0,-0.309600378,True
218,5,3,4,ECU,Ecuador,True,2006.0,2017.0,0.961577263,False
233,4,1,2,EST,Estonia,False,2006.0,2017.0,-0.07258269099999999,True
246,4,2,3,FIN,Finland,True,2006.0,2017.0,0.09081051299999987,False
268,5,1,5,GEO,Georgia,False,2006.0,2017.0,-0.32928833300000004,True
276,5,0,4,DEU,,False,2006.0,2017.0,0.5133314789999999,False
288,5,2,3,GHA,Ghana,True,2006.0,2017.0,-0.38641194300000004,True
320,4,1,1,GTM,Guatemala,False,2006.0,2017.0,-0.13758056500000004,True
348,4,1,1,HUN,Hungary,False,2006.0,2017.0,0.41125372399999993,False
356,5,0,4,IND,,False,2006.0,2017.0,-0.5030588379999998,True
360,5,0,3,IDN,,False,2006.0,2017.0,-0.9035996419999999,True
364,5,0,2,IRN,,False,2006.0,2017.0,-0.00031419700000001605,True
368,5,2,3,IRQ,Iraq,True,2006.0,2017.0,0.07760882999999996,False
392,5,0,5,JPN,,False,2006.0,2017.0,0.005354060000000001,False
